L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,1,256,0.078125,0.7711397058823529,0.9296875,0,0.34375,0.671875,0,-0.012810452116860284,-0.0400405901449698,0.0011389338307910496,0.56298417,2,256,0.11764705882352941,0.5294117647058824,0.29411764705882354,7.01958328
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,2,512,0.9296875,0.9533547794117647,0.984375,0,0.390625,0.68359375,0,0.12796615671228478,-0.06294182494834617,0.058116290304395885,0.5848592,2,512,0.11764705882352941,0.8235294117647058,0.35294117647058826,0.245172601
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,3,768,0.91796875,0.9572610294117647,0.97265625,0,0.5026041666666666,0.7044270833333333,0,0.02688292662302653,0.013502109933782506,-0.09070432627642597,0.59024686,2,768,0.11764705882352941,0.8823529411764706,0.5294117647058824,0.245735547
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.93359375,0.9547334558823529,0.97265625,0,0.57421875,0.708984375,0,0.11680719587537977,-0.11787485193323206,0.023161141960709182,0.59421337,4,1024,0.23529411764705882,0.8823529411764706,0.5882352941176471,0.271923085
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.9296875,0.9556525735294118,0.9765625,0,0.60625,0.709375,0,0.14160096203839337,0.11341445534317582,-0.015048980712890625,0.5948493,5,1280,0.23529411764705882,0.8823529411764706,0.5882352941176471,0.247291304
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.9296875,0.9574908088235294,0.9765625,0,0.62890625,0.7057291666666667,0,0.10393495912905093,0.055768370628356934,0.006441871325174968,0.59467226,6,1536,0.29411764705882354,0.8823529411764706,0.6470588235294118,0.247475012
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.93359375,0.9549632352941176,0.9765625,0,0.6506696428571429,0.6997767857142857,0,-0.1021585641083894,0.05395955509609646,-0.09033702037952564,0.5968089,10,1792,0.5294117647058824,0.9411764705882353,0.7058823529411765,0.247058493
24,-0.7699999809265137,-2.12624,disordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9579503676470589,0.97265625,0,0.6474609375,0.70068359375,0,0.1097675606056496,0.07626788704483597,-0.05020982247811777,0.59880286,12,2048,0.5294117647058824,0.9411764705882353,0.7058823529411765,0.246812136
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,1,256,0.1015625,0.5723805147058824,0.828125,0,0.5078125,0.58203125,0,0.7344866858588325,0.5889126812970197,0.5782539226390697,0.27081573,0,256,0.0,0.47058823529411764,0.17647058823529413,0.271412869
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,2,512,0.7109375,0.9460018382352942,0.98046875,0,0.50390625,0.619140625,0,0.634243576614945,0.6174921106409144,0.5591114185474537,0.28060386,0,512,0.0,0.6470588235294118,0.23529411764705882,0.245827211
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,3,768,0.93359375,0.9579503676470589,0.9765625,0,0.5625,0.6497395833333333,0,0.6299033694797092,0.605427070900246,0.5722264890317563,0.27965274,2,768,0.11764705882352941,0.7647058823529411,0.47058823529411764,0.247469631
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.9375,0.9547334558823529,0.98828125,0,0.580078125,0.65625,0,0.6291546998200593,0.6046033788610388,0.5723598268296983,0.28517446,5,1024,0.29411764705882354,0.8235294117647058,0.5294117647058824,0.273208729
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.9296875,0.95703125,0.98046875,0,0.60625,0.6578124999999999,0,0.6255819532606337,0.5926375212492766,0.5674416577374494,0.2911419,8,1280,0.4117647058823529,0.8235294117647058,0.5882352941176471,0.245875452
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.9453125,0.9618566176470589,0.9765625,0,0.6106770833333334,0.6634114583333334,0,0.6201936227303965,0.5818210177951388,0.5716109099211516,0.2901094,8,1536,0.4117647058823529,0.8823529411764706,0.6470588235294118,0.245974009
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.94140625,0.9581801470588235,0.98046875,0,0.6082589285714286,0.6657366071428572,0,0.6271180046929253,0.5922636809172453,0.5356949700249566,0.29020113,10,1792,0.47058823529411764,0.8823529411764706,0.7058823529411765,0.26878891
24,-0.7699999809265137,-2.12624,ordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9565716911764706,0.97265625,0,0.6083984375,0.66943359375,0,0.6205238059714988,0.5980808823196976,0.535683066756637,0.29336014,10,2048,0.47058823529411764,0.8823529411764706,0.7058823529411765,0.246104196
